model,accuracy,precision,recall,f1_score,roc_auc,cv_f1_mean,cv_f1_std,cv_recall_mean,cv_roc_auc_mean,cv_accuracy_mean,cv_precision_mean
Logistic Regression,0.7417,0.5086,0.7888,0.6184,0.8396,0.6298822319105457,0.025292301568944544,0.7812709030100333,0.844458373190804,0.7564820228809727,0.5278018882791117
Decision Tree,0.7615,0.5411,0.6684,0.5981,0.8025,0.5867906260525142,0.0213524235891623,0.6488294314381271,0.7876159617709003,0.7577242589058173,0.5360514131950844
Random Forest,0.7757,0.5668,0.6578,0.6089,0.8337,0.6182132896009385,0.017879125541319894,0.6521739130434783,0.8363162301925637,0.7863002579980174,0.5878667333422604
XGBoost,0.7771,0.582,0.5695,0.5757,0.8321,0.5938922305389852,0.032715764060448384,0.5725752508361204,0.8313933746797997,0.7919815729210828,0.6174402957844303
